title,price,rating,location,Amenities,image
Tamani Marina Hotel and Hotel Apartments,₹ 251+,8 Excellent,,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Tamani Marina Hotel and Hotel Apartments - Dubai - Restaurant"">"
Ibis Deira City Centre,₹ 88+,7.6 Good,Deira,"Parking,Free Wi-Fi","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Ibis Deira City Centre - Dubai - Lobby"">"
Rove City Centre,₹ 112+,9 Excellent,Deira,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Rove City Centre - Dubai - Building"">"
Somewhere Hotel Apartment,₹ 203+,8.2 Excellent,Deira,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Somewhere Hotel Apartment - Dubai - Bedroom"">"
Novotel Dubai Deira City Centre,₹ 128+,7.7 Good,Deira,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Novotel Dubai Deira City Centre - Dubai - Restaurant"">"
Copthorne Hotel Dubai,₹ 115+,7.7 Good,Deira,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Copthorne Hotel Dubai - Dubai - Pool"">"
Flora Creek Deluxe Hotel Apartments,₹ 211+,8.3 Excellent,Deira,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Flora Creek Deluxe Hotel Apartments - Dubai - Building"">"
Pullman Dubai Creek City Centre,₹ 174+,8.3 Excellent,Deira,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Pullman Dubai Creek City Centre - Dubai - Bedroom"">"
Rove Downtown Dubai,₹ 187+,9.1 Excellent,Bur Dubai,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Rove Downtown Dubai - Dubai - Lounge"">"
Ramada by Wyndham Downtown Dubai,₹ 237+,8.2 Excellent,Downtown Dubai,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Ramada by Wyndham Downtown Dubai - Dubai - Balcony"">"
Swissôtel Al Murooj Dubai,₹ 214+,8 Excellent,Bur Dubai,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Swissôtel Al Murooj Dubai - Dubai - Pool"">"
Shangri-La Dubai,₹ 319+,8.8 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Shangri-La Dubai - Dubai - Dining room"">"
City Premiere Hotel Apartments,₹ 153+,8.2 Excellent,Business Bay,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""City Premiere Hotel Apartments - Dubai - Pool"">"
Dusit Thani Dubai,₹ 215+,8.3 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Dusit Thani Dubai - Dubai - Bedroom"">"
Rose Rayhaan by Rotana,₹ 155+,8.5 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Rose Rayhaan by Rotana - Dubai - Pool"">"
Staybridge Suites Dubai Financial Centre,₹ 181+,7.9 Good,,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Staybridge Suites Dubai Financial Centre - Dubai - Bedroom"">"
Carlton Downtown Hotel,₹ 154+,7.8 Good,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Carlton Downtown Hotel - Dubai - Bedroom"">"
Fraser Suites Dubai,₹ 155+,8 Excellent,,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Fraser Suites Dubai - Dubai - Building"">"
The H Dubai,₹ 260+,8 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""The H Dubai - Dubai - Living room"">"
voco Dubai,₹ 220+,8.6 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""voco Dubai - Dubai - Bedroom"">"
Meliá Desert Palm a Meliá Collection Hotel,₹ 252+,8.4 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Meliá Desert Palm a Meliá Collection Hotel - Dubai - Bedroom"">"
Beach Hotel Apartment,₹ 84+,6.6 Good,Jumeirah,"Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Beach Hotel Apartment - Dubai - Building"">"
Sofitel Dubai The Palm Resort & Spa,₹ 468+,8.5 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Sofitel Dubai The Palm Resort &amp; Spa - Dubai - Building"">"
DAMAC Maison Dubai Mall Street,₹ 315+,8.7 Excellent,Downtown Dubai,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""DAMAC Maison Dubai Mall Street - Dubai - Bedroom"">"
Kempinski Hotel & Residences Palm Jumeirah,₹ 968+,8.5 Excellent,,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Kempinski Hotel &amp; Residences Palm Jumeirah - Dubai - Bedroom"">"
Anantara The Palm Dubai Resort,₹ 515+,8.8 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Anantara The Palm Dubai Resort - Dubai - Bedroom"">"
Hyatt Regency Dubai,₹ 166+,8.1 Excellent,Deira,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Hyatt Regency Dubai - Dubai - Pool"">"
Millennium Central Downtown,₹ 137+,7.4 Good,Business Bay,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Millennium Central Downtown - Dubai - Pool"">"
Al Sarab Hotel,₹ 92+,7.1 Good,Deira,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Al Sarab Hotel - Dubai - Bar"">"
OYO 353 Middle East Hotel,₹ 89+,2.8 Mediocre,Deira,Free Wi-Fi,"<img class=""ATNn ATNn-hidden soom-photo"" alt=""OYO 353 Middle East Hotel - Dubai - Building"">"
Marina Byblos Hotel,₹ 154+,7.4 Good,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Marina Byblos Hotel - Dubai - Bar"">"
York International Hotel,₹ 70+,4.2 Okay,Bur Dubai,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""York International Hotel - Dubai - Building"">"
Sun And Sands Downtown Hotel,₹ 123+,5.7 Okay,Deira,Free Wi-Fi,"<img class=""ATNn ATNn-hidden soom-photo"" alt=""Sun And Sands Downtown Hotel - Dubai - Front desk"">"
Sadaf Delmon Hotel,₹ 98+,4.1 Okay,Deira,"Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Sadaf Delmon Hotel - Dubai - Building"">"
Premier Inn Dubai International Airport,₹ 86+,8.4 Excellent,,"Parking,Airport shuttle,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Premier Inn Dubai International Airport - Dubai - Room amenity"">"
Arabian Park Hotel,₹ 113+,7 Good,Bur Dubai,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Arabian Park Hotel - Dubai - Bedroom"">"
Holiday Inn Express Dubai Airport,₹ 87+,7.8 Good,,"Parking,Airport shuttle,Free Wi-Fi","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Holiday Inn Express Dubai Airport - Dubai - Lobby"">"
Millennium Airport Hotel Dubai,₹ 114+,8.3 Excellent,,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Millennium Airport Hotel Dubai - Dubai - Restaurant"">"
Le Méridien Dubai Hotel & Conference Centre,₹ 189+,8.8 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Le Méridien Dubai Hotel &amp; Conference Centre - Dubai - Pool"">"
Gateway Hotel,₹ 391+,8.5 Excellent,Bur Dubai,"Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Gateway Hotel - Dubai - Lounge"">"
Flora Inn Hotel Dubai Airport,₹ 131+,8.2 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Flora Inn Hotel Dubai Airport - Dubai - Pool"">"
Pearl Marina Hotel Apartments,₹ 164+,8.6 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Pearl Marina Hotel Apartments - Dubai - Pool"">"
Hyatt Place Dubai Al Rigga,₹ 136+,8.1 Excellent,Deira,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Hyatt Place Dubai Al Rigga - Dubai - Building"">"
Admiral Plaza Hotel Dubai,₹ 91+,7.7 Good,Bur Dubai,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Admiral Plaza Hotel Dubai - Dubai - Restaurant"">"
Novotel World Trade Centre Dubai,₹ 226+,8.1 Excellent,,"Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Novotel World Trade Centre Dubai - Dubai - Bar"">"
